,Date,Headline,Alternate Headline,Link
32,2019-09-01,"
					 					 As Brexit comes knocking, British politics set to face its longest week yet					 ",The British Parliament will resume proceedings on September 3 after a summer recess,https://www.business-standard.com/article/international/as-brexit-comes-knocking-british-politics-set-to-face-its-longest-week-yet-119090100007_1.html
33,2019-09-01,"
					 					 From Shanghai to Dhaka, Asia should fix its megacities, not move them					 ","In Indonesia, land-use controls were aggressively deregulated in the 1980s while entire sectors of the economy were opened up to direct investment",https://www.business-standard.com/article/international/from-shanghai-to-dhaka-asia-should-fix-its-megacities-not-move-them-119090100006_1.html
34,2019-09-01,"
					 					 FTC finds YouTube in violation of child privacy norms, fines $200 million					 ",The case could have significant repercussions for other popular platforms used by young children in the United States,https://www.business-standard.com/article/international/ftc-finds-youtube-in-violation-of-child-privacy-norms-fines-200-million-119083101225_1.html
35,2019-09-01,"
					 					 How periodic table has become menu for a world hungry for material benefits					 ",Almost every entry on the periodic table is being put to some kind of use today,https://www.business-standard.com/article/international/how-periodic-table-has-become-menu-for-a-world-hungry-for-material-benefits-119083100959_1.html
36,2019-09-01,"
					 					 Jack Dorsey's 'hacked' account posts offensive tweets, firm says probe on					 ","More than 15 tweets, many containing swear words and racist comments, were posted shortly before 4 p.m. New York time",https://www.business-standard.com/article/international/jack-dorsey-s-hacked-account-posts-offensive-tweets-firm-says-probe-on-119083100960_1.html
37,2019-09-01,"
					 					 Thousands march peacefully in Hong Kong defying police ban on mass rally					 ",Police blocked plans for a mass show of force downtown to mark the fifth anniversary of a decision by China to curtail democratic reforms in the former British colony,https://www.business-standard.com/article/international/thousands-march-peacefully-in-hong-kong-defying-police-ban-on-mass-rally-119083100939_1.html
38,2019-09-01,"
					 					 Trump denies US involvement in Iranian missile explosion, tweets photo					 ",Tensions between the US and Iran have escalated since the president abandoned the 2015 multilateral deal to stem the Islamic Republic's nuclear program,https://www.business-standard.com/article/international/trump-denies-us-involvement-in-iranian-missile-explosion-tweets-photo-119083100899_1.html
39,2019-09-01,"
					 					 China factory activity shrinks for 4th month to 49.5% as trade woes deepen					 ","Persistent weakness in China's vast manufacturing sector could fuel expectations that Beijing needs to roll out stimulus more quickly, and more aggressively, to weather the biggest downturn in decades",https://www.business-standard.com/article/international/china-factory-activity-shrinks-for-4th-month-to-49-5-as-trade-woes-deepen-119083100895_1.html
40,2019-09-01,"
					 					 Telegram to protect identity of Hong Kong protesters against monitoring					 ",Telegram allows users to search for other users by uploading phone numbers,https://www.business-standard.com/article/international/telegram-to-protect-identity-of-hong-kong-protesters-against-monitoring-119083100889_1.html
41,2019-09-01,"
					 					 Brexit showdown looms for pound as divided UK Parliament returns					 ",Strategists see pound support on bid to block no-deal Brexit,https://www.business-standard.com/article/international/brexit-showdown-looms-for-pound-as-divided-uk-parliament-returns-119083100872_1.html
42,2019-09-01,"
					 					 Let's join our forces to fight poverty: Modi, Trump in a conversation					 ","India and the United States, we have been discussing on a continuous basis various economic trade and commercial relation issues, says Trump",https://www.business-standard.com/article/international/let-s-join-our-forces-to-fight-poverty-modi-trump-in-a-conversation-119083100841_1.html
43,2019-09-01,"
					 					 BJP can alone liberate Telangana from the clutches of KCR: J P Nadda					 ","Nadda, like Shah a few weeks ago, made it clear that the BJP leadership had no secret pact with TRS chief and chief minister K Chandrasekhar Rao",https://www.business-standard.com/article/opinion/bjp-can-alone-liberate-telangana-from-the-clutches-of-kcr-j-p-nadda-119083100825_1.html
44,2019-09-01,"
					 					 No single 'gay gene' but a complex mix of genetics affects behavior: Study					 ","Sexual rights campaigners welcomed the study, saying it 'provides more evidence that being gay or lesbian is a natural part of human life'",https://www.business-standard.com/article/health/no-single-gay-gene-but-a-complex-mix-of-genetics-affects-behavior-study-119083101210_1.html
45,2019-09-01,"
					 					 Second-hand smoke may not affect people equally to all races, ethnicities					 ","Financial capital, family networks and community resources play a major role as well",https://www.business-standard.com/article/health/second-hand-smoke-may-not-affect-people-equally-to-all-races-ethnicities-119083101207_1.html
46,2019-09-01,"
					 					 Women may be missing out on outpatient care access in north India					 ","Missing out on healthcare services may not always result in death, so death rates may not capture the extent of gender disparity",https://www.business-standard.com/article/health/women-may-be-missing-out-on-outpatient-care-access-in-north-india-119083101203_1.html
47,2019-09-01,"
					 					 Treat squit eye of a child as soon as it is noticed to get optimal vision					 ","Visual development in the brain takes place in the first four to five years, with stereoscopic vision developing in the first two years",https://www.business-standard.com/article/health/treat-squit-eye-of-a-child-as-soon-as-it-is-noticed-to-get-optimal-vision-119083101200_1.html
48,2019-09-02,"
					 					 Oberoi luxury resort to be named after Mukesh Ambani's son Anant					 ",Oberoi Anantvilas in BKC will be hotel chain's first urban resort,https://www.business-standard.com/article/companies/oberoi-luxury-resort-to-be-named-after-mukesh-ambani-s-son-anant-119090100749_1.html
49,2019-09-02,"
					 					 Short- and long-term measures needed to spur economic growth: India Inc					 ",India Inc wants the transmission of central bank rate cuts to the consumer to be more effective,https://www.business-standard.com/article/economy-policy/both-short-long-term-measures-needed-to-check-slow-gdp-growth-india-inc-119090100741_1.html
50,2019-09-02,"
					 					 Realty developers hopeful about festive season after slew of govt reforms					 ","According to major real estate players, there has been a sharp increase in enquiries over the past few weeks",https://www.business-standard.com/article/economy-policy/developers-hopeful-about-festive-season-after-slew-of-govt-reforms-119090100772_1.html
51,2019-09-02,"
					 					 From Maruti Suzuki to Tata Motors, auto sales see steep fall in August					 ",Auto sales have more than halved; executives await impact of government sops,https://www.business-standard.com/article/companies/from-tata-motors-to-honda-cars-auto-sales-see-steep-fall-in-august-119090100804_1.html
52,2019-09-02,"
					 					 Govt may sell entire stake in BPCL worth Rs 40,000 cr, IOCL likely suitor					 ",The senior leadership in the government has given its go-ahead to divesting the entire stake,https://www.business-standard.com/article/companies/centre-may-sell-full-stake-in-bpcl-worth-rs-40-000-cr-iocl-likely-suitor-119090100701_1.html
53,2019-09-02,"
					 					 Latest PSB merger could create Rs 5,000 cr business in IT outsourcing					 ","Including consultancy companies, around Rs 5,000 crore of business could be generated",https://www.business-standard.com/article/companies/mega-merger-of-psbs-could-mean-rs-5-000-cr-demand-in-it-outsourcing-119090200016_1.html
54,2019-09-02,"
					 					 Firms turn off the plastic tap; activists say more work needs to be done					 ","Companies in the bottled water space, for instance, say glass is an expensive alternative",https://www.business-standard.com/article/companies/firms-turn-off-the-plastic-tap-activists-say-more-work-needs-to-be-done-119090100888_1.html
55,2019-09-02,"
					 					 Industry spreads globally have shrunk in recent months: Tata Steel CFO					 ","'Steel is a foundation industry for any nation', says Koushik Chatterjee",https://www.business-standard.com/article/companies/industry-spreads-globally-have-shrunk-in-recent-months-tata-steel-cfo-119090100866_1.html
56,2019-09-02,"
					 					 Sluggish market may delay Posco decision on investing in India steel plant					 ",India will be adding 20 mt of annual capacity in the next five years,https://www.business-standard.com/article/companies/sluggish-market-may-delay-posco-decision-on-investing-in-india-steel-plant-119090100834_1.html
57,2019-09-02,"
					 					 Recovery unlikely for cement and capital goods sectors before Q3					 ",Industry volume declined in the June quarter,https://www.business-standard.com/article/companies/recovery-unlikely-for-cement-and-capital-goods-sectors-before-q3-119090100832_1.html
58,2019-09-02,"
					 					 IndiGo flies past Air India on international routes, deploys more seats					 ","Since June 2018, IndiGo has inducted 70 planes, taking the fleet to 239",https://www.business-standard.com/article/companies/indigo-flies-past-air-india-on-international-routes-deploys-more-seats-119090100824_1.html
59,2019-09-02,"
					 					 Vahan, Lokal, Nonu Care: 3 start-ups that will get $150,000 each for biz					 ","Ramani Ranjan Mohapatra gives brief profiles of three such start-ups which will get $150,000 each while getting started",https://www.business-standard.com/article/companies/vahan-lokal-nonu-care-3-start-ups-that-will-get-150-000-each-for-biz-119090100798_1.html
60,2019-09-02,"
					 					 M&M; to acquire 55% stake in Meru for cash consideration of Rs 201.5 cr					 ","Under the agreement, after investment of the first tranche in Meru, M&M will have the right to appoint majority of the directors on the board of Meru and will control its composition",https://www.business-standard.com/article/pti-stories/m-m-to-acquire-55-pc-in-stake-meru-for-cash-consideration-of-up-to-rs-201-5-cr-119090100284_1.html
61,2019-09-02,"
					 					 OVL, partners may buy 49% stake in Vankor oilfields during Modi-Putin meet					 ",Indian firms have been in dialogue with Russia since 2017 for a possible stake in the oilfields that will consolidate their presence in the energy-rich Arctic region,https://www.business-standard.com/article/pti-stories/ovl-partners-buying-49-pc-stake-in-vankor-cluster-oilfields-119090100168_1.html
62,2019-09-02,"
					 					 Let data protection Bill deal with personal health data, says IAMAI					 ","The IAMAI counts technology majors like Google, Facebook, and Apple as members as well as health tech firms such as Netmeds, Practo, 1mg, and mfine",https://www.business-standard.com/article/economy-policy/let-data-protection-bill-deal-with-personal-health-data-says-iamai-119090200024_1.html
63,2019-09-02,"
					 					 Technology underlay FM Nirmala Sitharaman's bank mergers decision					 ",Numbers of officers now more than other workers in PSBs,https://www.business-standard.com/article/economy-policy/technology-underlay-fm-nirmala-sitharaman-s-bank-mergers-decision-119090100915_1.html
64,2019-09-02,"
					 					 From consumption to jobs: India's economic trouble explained in 6 charts					 ","In nominal terms, India's gross domestic product (GDP) grew by 7.99 per cent, lowest since December 2002",https://www.business-standard.com/article/economy-policy/from-consumption-to-jobs-india-s-economic-trouble-explained-in-6-charts-119090100877_1.html
65,2019-09-02,"
					 					 Economic slowdown: Govt is curing problem from wrong side, says Pronab Sen					 ","The economy needs to grow by 12 per cent at current prices in dollar terms to make India a $5 trillion economy, says Sen",https://www.business-standard.com/article/economy-policy/economic-slowdown-govt-is-curing-problem-from-wrong-side-says-pronab-sen-119090100842_1.html
66,2019-09-02,"
					 					 GST mop-up less than Rs 1 trillion in August; Council to meet this month					 ","This was the second month in the current fiscal year that the collections could not hit the Rs 1-trillion mark, the first being June",https://www.business-standard.com/article/economy-policy/gst-mop-up-less-than-rs-1-trillion-in-august-council-to-meet-this-month-119090100792_1.html
67,2019-09-02,"
					 					 Centre working on a fresh bailout package for cash-strapped BSNL					 ","BSNL and MTNL had both sought relief from the government in the form of conversion of debt into a sovereign guarantee, a pay revision and  a subsequent voluntary retirement scheme",https://www.business-standard.com/article/economy-policy/centre-working-on-a-fresh-bailout-package-for-cash-strapped-bsnl-119090100754_1.html
68,2019-09-02,"
					 					 Govt addressing issues sectorally, more action soon: FM Nirmala Sitharaman					 ","Government has made two major announcements to revive the economy after consulting business leaders and such dialogue will continue, says finance minister Nirmala Sitharaman.",https://www.business-standard.com/article/economy-policy/govt-listening-to-industry-but-no-magic-band-for-economy-fm-sitharaman-119090100575_1.html
69,2019-09-02,"
					 					 Jet fuel price cut by 1% to 4-month low, LPG rate up by Rs 15 per cylinder					 ",State-owned fuel marketing companies revise ATF prices on the 1st of every month based on average of benchmark international oil price in the previous month,https://www.business-standard.com/article/pti-stories/atf-price-cut-by-1-pc-lpg-rate-up-by-rs-15-5-119090100307_1.html
70,2019-09-02,"
					 					 Market salary for a few in a public sector bank could be a chimera					 ","The possibility is that high calibre chief risk officers in the PSBs already earn Rs 1 crore to Rs 2 crore, whereas even SBI chairman could be earning less than Rs 30 lakh",https://www.business-standard.com/article/finance/market-salary-for-a-few-in-a-public-sector-bank-could-be-a-chimera-119090100919_1.html
71,2019-09-02,"
					 					 Delivering on growth a must for NextGen PSBs to attract investors					 ",Analysts cite examples of SBI and BoB to indicate how the mergers could be value-depletive for investors in the near term,https://www.business-standard.com/article/finance/delivering-on-growth-a-must-for-nextgen-psbs-to-attract-investors-119090100708_1.html
